This data file provides the observational data behind Figure 7.13
"It was produced by Dan Lunt, using script plot_all_fgd.pro"
Time Period,SST or SAT,longitude [degrees],latitude [degrees],lower error bar [degreesC],mean temperature [degreesC],upper error bar [degreesC]
"LGM","SST",12.5000,-22.5000,0.358457,4.24031,0.358457
"LGM","SST",12.5000,-17.5000,0.397869,3.00687,0.397869
"LGM","SST",12.5000,-12.5000,0.682109,2.79678,0.682109
"LGM","SST",12.5000,-7.50000,0.697662,2.97911,0.697662
"LGM","SST",12.5000,37.5000,0.240546,6.05266,0.240546
"LGM","SST",12.5000,42.5000,0.733880,6.23241,0.733880
"LGM","SST",12.5000,72.5000,0.237971,4.99357,0.237971
"LGM","SST",17.5000,-32.5000,0.523876,1.42587,0.523876
"LGM","SST",17.5000,37.5000,0.541326,6.44325,0.541326
"LGM","SST",17.5000,42.5000,0.404618,6.54643,0.404618
"LGM","SST",17.5000,82.5000,0.723086,0.836042,0.723086
"LGM","SST",22.5000,32.5000,0.728306,5.80415,0.728306
"LGM","SST",27.5000,32.5000,0.724325,2.99447,0.724325
"LGM","SST",32.5000,-32.5000,0.969354,3.75046,0.969354
"LGM","SST",32.5000,27.5000,1.14625,5.05704,1.14625
"LGM","SST",32.5000,32.5000,0.385897,8.38156,0.385897
"LGM","SST",37.5000,-22.5000,0.864952,2.68321,0.864952
"LGM","SST",37.5000,-17.5000,0.578300,1.40738,0.578300
"LGM","SST",37.5000,-7.50000,0.506110,2.72601,0.506110
"LGM","SST",37.5000,-2.50000,0.526887,1.74341,0.526887
"LGM","SST",42.5000,2.50000,0.510210,3.94995,0.510210
"LGM","SST",42.5000,12.5000,0.343864,2.61525,0.343864
"LGM","SST",42.5000,82.5000,0.743781,0.797017,0.743781
"LGM","SST",52.5000,-42.5000,0.424662,2.66869,0.424662
"LGM","SST",52.5000,-12.5000,0.509613,-0.592868,0.509613
"LGM","SST",52.5000,2.50000,0.872553,3.68062,0.872553
"LGM","SST",52.5000,12.5000,0.397931,1.32424,0.397931
"LGM","SST",57.5000,12.5000,0.284936,1.90329,0.284936
"LGM","SST",57.5000,17.5000,0.449864,5.24280,0.449864
"LGM","SST",57.5000,22.5000,0.585590,3.49142,0.585590
"LGM","SST",62.5000,7.50000,0.387236,0.707694,0.387236
"LGM","SST",62.5000,12.5000,0.604689,-0.0162769,0.604689
"LGM","SST",62.5000,17.5000,0.975403,1.76171,0.975403
"LGM","SST",62.5000,22.5000,0.584341,4.41197,0.584341
"LGM","SST",67.5000,-52.5000,1.06104,3.19236,1.06104
"LGM","SST",67.5000,2.50000,0.508587,1.46938,0.508587
"LGM","SST",67.5000,17.5000,0.322469,3.45339,0.322469
"LGM","SST",67.5000,22.5000,0.443002,6.01059,0.443002
"LGM","SST",72.5000,-57.5000,0.822453,1.37934,0.822453
"LGM","SST",72.5000,7.50000,0.517879,1.74017,0.517879
"LGM","SST",72.5000,12.5000,0.387392,2.53853,0.387392
"LGM","SST",72.5000,17.5000,1.12854,3.82598,1.12854
"LGM","SST",77.5000,-42.5000,0.433708,2.59376,0.433708
"LGM","SST",77.5000,7.50000,0.475001,3.05271,0.475001
"LGM","SST",77.5000,12.5000,1.16403,2.32956,1.16403
"LGM","SST",87.5000,-47.5000,0.384478,2.25285,0.384478
"LGM","SST",87.5000,17.5000,1.66985,-0.396476,1.66985
"LGM","SST",92.5000,-47.5000,0.680974,3.51567,0.680974
"LGM","SST",92.5000,7.50000,0.696759,0.0497792,0.696759
"LGM","SST",92.5000,12.5000,0.312267,2.69398,0.312267
"LGM","SST",92.5000,17.5000,0.841076,2.61147,0.841076
"LGM","SST",97.5000,-47.5000,0.397920,3.50951,0.397920
"LGM","SST",97.5000,-2.50000,0.524018,3.32057,0.524018
"LGM","SST",97.5000,2.50000,0.414835,2.78175,0.414835
"LGM","SST",97.5000,12.5000,0.610533,3.42817,0.610533
"LGM","SST",102.500,-7.50000,0.413147,3.05255,0.413147
"LGM","SST",102.500,-2.50000,0.505444,2.90068,0.505444
"LGM","SST",107.500,7.50000,0.383694,3.57125,0.383694
"LGM","SST",112.500,-32.5000,1.23778,-2.08996,1.23778
"LGM","SST",112.500,-27.5000,0.816513,0.00952648,0.816513
"LGM","SST",112.500,-22.5000,0.545214,0.547014,0.545214
"LGM","SST",112.500,-7.50000,0.519609,2.32071,0.519609
"LGM","SST",112.500,7.50000,0.358943,1.95313,0.358943
"LGM","SST",112.500,12.5000,0.378063,1.94499,0.378063
"LGM","SST",112.500,17.5000,0.396784,2.89350,0.396784
"LGM","SST",117.500,-17.5000,0.411625,2.42936,0.411625
"LGM","SST",117.500,-7.50000,0.361113,3.10431,0.361113
"LGM","SST",117.500,-2.50000,0.497486,3.24208,0.497486
"LGM","SST",117.500,2.50000,0.489989,3.23001,0.489989
"LGM","SST",117.500,12.5000,0.430758,0.348129,0.430758
"LGM","SST",117.500,17.5000,0.279364,2.59344,0.279364
"LGM","SST",117.500,22.5000,0.420173,3.27499,0.420173
"LGM","SST",122.500,-12.5000,0.174126,2.59345,0.174126
"LGM","SST",122.500,-7.50000,0.504044,2.19109,0.504044
"LGM","SST",122.500,7.50000,0.603828,0.509020,0.603828
