This data file provides the observational data behind Figure 7.13,,,,,,,,,,,
"It was produced by Dan Lunt, using script plot_all_fgd.pro",,,,,,,,,,,
Time Period,SST or SAT,longitude [degrees],latitude [degrees],mean temperature [degreesC],lower error bar [degreesC],mean temperature [degreesC],upper error bar [degreesC],model mean,model aver,model Seb,model Seb+1 lon
LGM,SAT,39,47,14.0459,0.5868,14.0459,0.5868,7.47537,7.47537,8.262756348,"8.188873291015625,"
LGM,SAT,39,57,13.769,0.672455,13.769,0.672455,12.7658,12.7658,14.10971069,"13.70977783203125,"
LGM,SAT,39,59,13.6026,0.834356,13.6026,0.834356,14.824,14.824,16.63760376,"15.966156005859375,"
LGM,SAT,41,41,9.48267,0.614558,9.48267,0.614558,5.24783,5.24783,4.467559814,"4.594940185546875,"
LGM,SAT,41,43,9.09739,0.547972,9.09739,0.547972,4.76669,4.76669,5.234649658,"5.3575439453125,"
LGM,SAT,41,57,12.5894,0.84529,12.5894,0.84529,12.1845,12.1845,13.34890747,"13.009674072265625,"
LGM,SAT,45,41,7.65318,0.679893,7.65318,0.679893,4.40775,4.40775,4.051147461,"4.38330078125,"
LGM,SAT,47,-19,3.97836,0.671139,3.97836,0.671139,3.22116,3.22116,3.536773682,"3.280914306640625,"
LGM,SAT,47,35,9.73627,0.970274,9.73627,0.970274,5.46884,5.46884,5.549835205,"5.511932373046875,"
LGM,SAT,49,-19,3.97836,0.671139,3.97836,0.671139,2.55234,2.55234,2.872680664,"2.618133544921875,"
LGM,SAT,57,55,7.89801,0.67882,7.89801,0.67882,8.00903,8.00903,8.597076416,"8.467803955078125,"
LGM,SAT,63,57,9.05165,0.910099,9.05165,0.910099,9.18796,9.18796,9.64944458,"9.672332763671875,"
LGM,SAT,65,65,9.29414,0.696581,9.29414,0.696581,12.9535,12.9535,13.37631226,"13.371856689453125,"
LGM,SAT,65,67,9.0829,0.756808,9.0829,0.756808,13.8564,13.8564,14.64465332,"14.625595092773438,"
LGM,SAT,67,65,9.00608,0.762672,9.00608,0.762672,12.9239,12.9239,13.37046814,"13.379547119140625,"
LGM,SAT,69,57,9.73607,0.54992,9.73607,0.54992,9.17697,9.17697,9.660217285,"9.624298095703125,"
LGM,SAT,69,59,10.0562,0.586974,10.0562,0.586974,10.0952,10.0952,10.65359497,"10.6070556640625,"
LGM,SAT,71,57,9.52659,0.541662,9.52659,0.541662,9.14209,9.14209,9.610992432,"9.570587158203125,"
LGM,SAT,71,67,7.78247,0.805946,7.78247,0.805946,13.4461,13.4461,13.85238647,"13.708114624023438,"
LGM,SAT,73,39,4.61689,1.48762,4.61689,1.48762,4.67331,4.67331,4.966003418,"4.510955810546875,"
LGM,SAT,75,41,5.20506,1.44534,5.20506,1.44534,4.18423,4.18423,4.719390869,"4.807220458984375,"
LGM,SAT,83,53,7.91358,0.752801,7.91358,0.752801,6.67377,6.67377,7.460296631,"7.33013916015625,"
LGM,SAT,83,55,8.83834,0.555133,8.83834,0.555133,7.82065,7.82065,8.327911377,"8.229705810546875,"
LGM,SAT,83,59,9.1614,0.623386,9.1614,0.623386,9.57092,9.57092,10.01538086,"9.943084716796875,"
LGM,SAT,85,57,8.3583,0.687539,8.3583,0.687539,8.52225,8.52225,9.108612061,"9.0347900390625,"
LGM,SAT,85,69,5.46523,0.799555,5.46523,0.799555,11.0038,11.0038,11.63020325,"11.257278442382812,"
LGM,SAT,87,53,6.83122,0.71203,6.83122,0.71203,6.27707,6.27707,6.800842285,"6.76763916015625,"
LGM,SAT,89,49,4.54057,0.769062,4.54057,0.769062,5.77933,5.77933,5.788696289,"5.40447998046875,"
LGM,SAT,89,69,5.03201,0.811042,5.03201,0.811042,9.84941,9.84941,10.3624115,"10.147247314453125,"
LGM,SAT,99,51,4.92732,1.04617,4.92732,1.04617,6.05859,6.05859,6.134185791,"6.042999267578125,"
LGM,SAT,101,37,4.72798,0.96105,4.72798,0.96105,4.3129,4.3129,4.590545654,"4.681793212890625,"
LGM,SAT,111,47,6.85638,0.671648,6.85638,0.671648,5.957,5.957,6.010620117,"6.12249755859375,"
LGM,SAT,135,35,11.5815,0.560428,11.5815,0.560428,4.65289,4.65289,5.437194824,"5.127166748046875,"
LGM,SAT,175,-37,3.71,0.822753,3.71,0.822753,3.05835,3.05835,3.002044678,"2.92108154296875,"
LGM,SST,-172.5,-42.5,6.08295,0.711416,6.08295,0.711416,2.75988,2.75988,3.418059349,"3.4180593490600586,"
LGM,SST,-157.5,22.5,1.25453,0.663819,1.25453,0.663819,2.74656,2.74656, nan,"nan,"
LGM,SST,-147.5,52.5,-0.325464,0.312263,-0.325464,0.312263,2.3688,2.3688, nan,"nan,"
LGM,SST,-137.5,2.5,1.05532,0.783774,1.05532,0.783774,3.12054,3.12054,2.934976578,"2.934976577758789,"
LGM,SST,-132.5,42.5,3.53778,0.563531,3.53778,0.563531,3.60035,3.60035, nan,"nan,"
LGM,SST,-127.5,42.5,5.17432,0.484968,5.17432,0.484968,3.03352,3.24964, nan,"nan,"
LGM,SST,-122.5,32.5,4.66262,0.254699,4.66262,0.254699,3.17114,3.17114, nan,"nan,"
LGM,SST,-122.5,37.5,4.33756,0.342664,4.33756,0.342664,3.27425,3.20547,4.83117485,"4.831174850463867,"
LGM,SST,-122.5,42.5,5.76259,0.759354,5.76259,0.759354,4.10369,2.9981, nan,"nan,"
LGM,SST,-117.5,32.5,4.93843,0.267474,4.93843,0.267474,3.49772,3.55324, nan,"nan,"
LGM,SST,-112.5,27.5,10.1623,0.999122,10.1623,0.999122,6.20544,3.48493, nan,"nan,"
LGM,SST,-107.5,-7.5,0.169219,0.515598,0.169219,0.515598,2.72671,2.72671,2.924552917,"2.9245529174804688,"
LGM,SST,-107.5,22.5,3.80385,1.06973,3.80385,1.06973,2.90951,2.86683, nan,"nan,"
LGM,SST,-97.5,2.5,3.27315,0.814308,3.27315,0.814308,3.16033,3.16033,2.934976578,"2.934976577758789,"
LGM,SST,-92.5,-2.5,2.30725,0.770975,2.30725,0.770975,3.30897,3.30897,2.942533493,"2.942533493041992,"
LGM,SST,-92.5,2.5,1.34083,0.292151,1.34083,0.292151,3.11813,3.11813,2.934976578,"2.934976577758789,"
LGM,SST,-92.5,27.5,3.21727,0.353813,3.21727,0.353813,4.52522,4.08898, nan,"nan,"
LGM,SST,-87.5,-2.5,0.772712,0.183079,0.772712,0.183079,3.50258,3.50258,2.942533493,"2.942533493041992,"
LGM,SST,-87.5,2.5,1.35714,0.424543,1.35714,0.424543,3.00722,3.00722,2.934976578,"2.934976577758789,"
LGM,SST,-87.5,7.5,5.11602,0.732495,5.11602,0.732495,2.74892,2.74892, nan,"nan,"
LGM,SST,-87.5,27.5,2.25419,0.498536,2.25419,0.498536,3.84974,3.78312, nan,"nan,"
LGM,SST,-82.5,-2.5,1.98399,0.310118,1.98399,0.310118,3.3963,3.55307,2.942533493,"2.942533493041992,"
LGM,SST,-82.5,7.5,2.77895,0.361555,2.77895,0.361555,2.55486,2.79748, nan,"nan,"
LGM,SST,-82.5,22.5,4.64616,0.603467,4.64616,0.603467,1.81809,3.36399, nan,"nan,"
LGM,SST,-77.5,-17.5,4.22888,0.471519,4.22888,0.471519,2.97482,2.97482,2.833223343,"2.833223342895508,"
LGM,SST,-77.5,2.5,3.50116,1.08646,3.50116,1.08646,3.49038,2.76609,2.934976578,"2.934976577758789,"
LGM,SST,-77.5,12.5,2.58419,0.310064,2.58419,0.310064,3.21213,3.21213, nan,"nan,"
LGM,SST,-77.5,17.5,3.74009,0.478009,3.74009,0.478009,3.32874,3.32874, nan,"nan,"
LGM,SST,-77.5,32.5,1.1647,0.497895,1.1647,0.497895,2.93352,2.74075, nan,"nan,"
LGM,SST,-72.5,-42.5,4.9272,0.643979,4.9272,0.643979,5.25091,3.14527,3.418059349,"3.4180593490600586,"
LGM,SST,-72.5,-37.5,1.92459,0.452646,1.92459,0.452646,2.33769,3.02206,3.020449638,"3.020449638366699,"
LGM,SST,-72.5,12.5,2.62561,0.709123,2.62561,0.709123,3.48883,3.46965, nan,"nan,"
LGM,SST,-67.5,12.5,3.78564,0.304143,3.78564,0.304143,3.45263,3.45263, nan,"nan,"
LGM,SST,-62.5,12.5,3.37366,0.438267,3.37366,0.438267,3.68666,3.68666, nan,"nan,"
LGM,SST,-62.5,42.5,10.267,0.782091,10.267,0.782091,8.07379,8.57097, nan,"nan,"
LGM,SST,-57.5,-52.5,-2.7739,0.715033,-2.7739,0.715033,3.65928,3.58439,2.273648739,"2.273648738861084,"
LGM,SST,-57.5,32.5,-0.640539,0.718217,-0.640539,0.718217,2.4267,2.4267, nan,"nan,"
LGM,SST,-57.5,42.5,8.53092,0.565464,8.53092,0.565464,6.95938,6.95938, nan,"nan,"
LGM,SST,-52.5,42.5,8.9315,0.723682,8.9315,0.723682,5.93786,6.16037, nan,"nan,"
LGM,SST,-47.5,-27.5,2.33357,0.359205,2.33357,0.359205,2.39565,2.45344,2.623037338,"2.623037338256836,"
LGM,SST,-47.5,42.5,2.72117,0.475387,2.72117,0.475387,6.87852,6.87852, nan,"nan,"
LGM,SST,-47.5,57.5,5.11746,0.725252,5.11746,0.725252,3.51675,3.51675,6.973686218,"6.973686218261719,"
LGM,SST,-42.5,-22.5,3.50603,0.520024,3.50603,0.520024,1.98633,2.28513,2.636365891,"2.6363658905029297,"
LGM,SST,-42.5,2.5,4.8551,0.503568,4.8551,0.503568,3.00597,3.00597,2.934976578,"2.934976577758789,"
LGM,SST,-37.5,-32.5,0.9703,0.473814,0.9703,0.473814,2.59995,2.59995,2.770922661,"2.7709226608276367,"
LGM,SST,-37.5,-22.5,2.71241,0.314871,2.71241,0.314871,2.24223,2.24223,2.636365891,"2.6363658905029297,"
LGM,SST,-37.5,-2.5,2.66859,0.317837,2.66859,0.317837,2.86156,2.73111,2.942533493,"2.942533493041992,"
LGM,SST,-37.5,52.5,4.22809,0.414908,4.22809,0.414908,4.13411,4.13411, nan,"nan,"
LGM,SST,-32.5,-7.5,1.04519,0.316073,1.04519,0.316073,2.70432,2.70432,2.924552917,"2.9245529174804688,"
LGM,SST,-32.5,-2.5,1.23352,0.492542,1.23352,0.492542,2.83308,2.83308,2.942533493,"2.942533493041992,"
LGM,SST,-32.5,2.5,3.52844,0.403773,3.52844,0.403773,3.0635,3.0635,2.934976578,"2.934976577758789,"
LGM,SST,-32.5,7.5,3.84695,0.72144,3.84695,0.72144,3.03955,3.03955, nan,"nan,"
LGM,SST,-32.5,37.5,4.43993,0.295904,4.43993,0.295904,3.37974,3.37974,4.83117485,"4.831174850463867,"
LGM,SST,-32.5,42.5,3.92418,0.370594,3.92418,0.370594,4.43196,4.43196, nan,"nan,"
LGM,SST,-32.5,52.5,6.53718,0.701043,6.53718,0.701043,4.49621,4.49621, nan,"nan,"
